Country,Year,Month,As On Date,Foreign Exchange Reserve Type,"Rupees (UOM:INR(IndianRupees)), Scaling Factor:10000000","Us Dollars (UOM:USD(USDollars)), Scaling Factor:1000000","Volume (UOM:MT(MetricTonnes)), Scaling Factor:1","Special Drawing Rights (Sdrs) (UOM:Number), Scaling Factor:1000000"
India,"Financial Year (Apr - Mar), 2023","October, 2023",13-Oct-2023,Gold,362812.74,4357483,803.58,
India,"Financial Year (Apr - Mar), 2023","October, 2023",13-Oct-2023,Reserve Tranche Position in IMF,41416.37,49745,,
India,"Financial Year (Apr - Mar), 2023","October, 2023",13-Oct-2023,SDRs,149830.39,1799505,,13680.81
India,"Financial Year (Apr - Mar), 2023","October, 2023",13-Oct-2023,Total Reserves,4878276.14,58589494,,
India,"Financial Year (Apr - Mar), 2023","October, 2023",20-Oct-2023,Foreign Currency Assets,4282084.16,51520179,,
India,"Financial Year (Apr - Mar), 2023","October, 2023",20-Oct-2023,Gold,377544.79,4542455,803.58,
India,"Financial Year (Apr - Mar), 2023","October, 2023",20-Oct-2023,Reserve Tranche Position in IMF,41435.89,498038,,
India,"Financial Year (Apr - Mar), 2023","October, 2023",20-Oct-2023,SDRs,148986.51,1792541,,13680.81
India,"Financial Year (Apr - Mar), 2023","October, 2023",20-Oct-2023,Total Reserves,4850051.35,58353213,,
India,"Financial Year (Apr - Mar), 2023","October, 2023",27-Oct-2023,Foreign Currency Assets,4307970.38,51750438,,
India,"Financial Year (Apr - Mar), 2023","October, 2023",27-Oct-2023,Gold,382289.07,4592331,803.58,
India,"Financial Year (Apr - Mar), 2023","October, 2023",27-Oct-2023,Reserve Tranche Position in IMF,39732.95,477262,,
India,"Financial Year (Apr - Mar), 2023","October, 2023",27-Oct-2023,SDRs,149095.05,1791037,,13680.81
India,"Financial Year (Apr - Mar), 2023","October, 2023",27-Oct-2023,Total Reserves,4879087.45,58611068,,
India,"Financial Year (Apr - Mar), 2023","September, 2023",01-Sep-2023,Foreign Currency Assets,4389431.78,53069055,,
India,"Financial Year (Apr - Mar), 2023","September, 2023",01-Sep-2023,Gold,371694.21,4493853,799.59,
India,"Financial Year (Apr - Mar), 2023","September, 2023",01-Sep-2023,Reserve Tranche Position in IMF,41935.08,507291,,
India,"Financial Year (Apr - Mar), 2023","September, 2023",01-Sep-2023,SDRs,150491.04,1819465,,13680.81
India,"Financial Year (Apr - Mar), 2023","September, 2023",01-Sep-2023,Total Reserves,4953552.11,59889664,,
India,"Financial Year (Apr - Mar), 2023","September, 2023",08-Sep-2023,Foreign Currency Assets,4366136.97,52642559,,
India,"Financial Year (Apr - Mar), 2023","September, 2023",08-Sep-2023,Gold,368121.13,443844,799.59,
India,"Financial Year (Apr - Mar), 2023","September, 2023",08-Sep-2023,Reserve Tranche Position in IMF,41863.16,503412,,
India,"Financial Year (Apr - Mar), 2023","September, 2023",08-Sep-2023,SDRs,149789.79,1806017,,13680.81
India,"Financial Year (Apr - Mar), 2023","September, 2023",08-Sep-2023,Total Reserves,4925911.05,59390428,,
India,"Financial Year (Apr - Mar), 2023","September, 2023",15-Sep-2023,Foreign Currency Assets,4373725.12,52591504,,
India,"Financial Year (Apr - Mar), 2023","September, 2023",15-Sep-2023,Gold,365924.81,4400033,799.59,
India,"Financial Year (Apr - Mar), 2023","September, 2023",15-Sep-2023,Reserve Tranche Position in IMF,41775.41,502981,,
India,"Financial Year (Apr - Mar), 2023","September, 2023",15-Sep-2023,SDRs,150459.74,1809191,,13680.81
India,"Financial Year (Apr - Mar), 2023","September, 2023",15-Sep-2023,Total Reserves,4931885.08,59303709,,
India,"Financial Year (Apr - Mar), 2023","September, 2023",22-Sep-2023,Foreign Currency Assets,4339927.7,52336333,,
India,"Financial Year (Apr - Mar), 2023","September, 2023",22-Sep-2023,Gold,367409.61,4430689,799.59,
India,"Financial Year (Apr - Mar), 2023","September, 2023",22-Sep-2023,Reserve Tranche Position in IMF,41632.82,501917,,
India,"Financial Year (Apr - Mar), 2023","September, 2023",22-Sep-2023,SDRs,149365.83,1801242,,13680.81
India,"Financial Year (Apr - Mar), 2023","September, 2023",22-Sep-2023,Total Reserves,4898335.96,59070181,,
India,"Financial Year (Apr - Mar), 2023","September, 2023",29-Sep-2023,Foreign Currency Assets,4328124.4,52023602,,
India,"Financial Year (Apr - Mar), 2023","September, 2023",29-Sep-2023,Gold,363823.58,4373121,800.78,
India,"Financial Year (Apr - Mar), 2023","September, 2023",29-Sep-2023,Reserve Tranche Position in IMF,41592.7,500158,,
India,"Financial Year (Apr - Mar), 2023","September, 2023",29-Sep-2023,SDRs,149242.73,1793882,,13680.81
India,"Financial Year (Apr - Mar), 2023","September, 2023",29-Sep-2023,Total Reserves,4882783.41,58690763,,
India,"Financial Year (Apr - Mar), 2023","August, 2023",04-Aug-2023,Foreign Currency Assets,4418603.42,53339973,,
India,"Financial Year (Apr - Mar), 2023","August, 2023",04-Aug-2023,Gold,370123.6,4468014,797.72,
India,"Financial Year (Apr - Mar), 2023","August, 2023",04-Aug-2023,Reserve Tranche Position in IMF,42220.14,509919,,
India,"Financial Year (Apr - Mar), 2023","August, 2023",04-Aug-2023,SDRs,151376.01,1827363,,13673.57
India,"Financial Year (Apr - Mar), 2023","August, 2023",04-Aug-2023,Total Reserves,4982323.0,6014530,,
India,"Financial Year (Apr - Mar), 2023","August, 2023",11-Aug-2023,Foreign Currency Assets,4427047.77,53439911,,
India,"Financial Year (Apr - Mar), 2023","August, 2023",11-Aug-2023,Gold,367316.93,4433967,797.72,
India,"Financial Year (Apr - Mar), 2023","August, 2023",11-Aug-2023,Reserve Tranche Position in IMF,42197.6,509758,,
India,"Financial Year (Apr - Mar), 2023","August, 2023",11-Aug-2023,SDRs,151800.69,1832421,,13680.81
India,"Financial Year (Apr - Mar), 2023","August, 2023",11-Aug-2023,Total Reserves,4988363.0,6021610,,
India,"Financial Year (Apr - Mar), 2023","August, 2023",18-Aug-2023,Foreign Currency Assets,4386111.43,52778647,,
India,"Financial Year (Apr - Mar), 2023","August, 2023",18-Aug-2023,Gold,364196.12,4382419,798.66,
India,"Financial Year (Apr - Mar), 2023","August, 2023",18-Aug-2023,Reserve Tranche Position in IMF,42146.6,507237,,
India,"Financial Year (Apr - Mar), 2023","August, 2023",18-Aug-2023,SDRs,151292.23,1820519,,13680.81
India,"Financial Year (Apr - Mar), 2023","August, 2023",18-Aug-2023,Total Reserves,4943746.38,59488822,,
India,"Financial Year (Apr - Mar), 2023","August, 2023",25-Aug-2023,Foreign Currency Assets,4358044.45,52724891,,
India,"Financial Year (Apr - Mar), 2023","August, 2023",25-Aug-2023,Gold,366616.44,4435433,799.59,
India,"Financial Year (Apr - Mar), 2023","August, 2023",25-Aug-2023,Reserve Tranche Position in IMF,41828.49,506078,,
India,"Financial Year (Apr - Mar), 2023","August, 2023",25-Aug-2023,SDRs,150383.47,1819383,,13680.81
India,"Financial Year (Apr - Mar), 2023","August, 2023",25-Aug-2023,Total Reserves,4916872.85,59485785,,
India,"Financial Year (Apr - Mar), 2023","July, 2023",07-Jul-2023,Foreign Currency Assets,4376743.53,52896786,,
India,"Financial Year (Apr - Mar), 2023","July, 2023",07-Jul-2023,Gold,364560.79,4406037,797.72,
India,"Financial Year (Apr - Mar), 2023","July, 2023",07-Jul-2023,Reserve Tranche Position in IMF,41478.78,501695,,
India,"Financial Year (Apr - Mar), 2023","July, 2023",07-Jul-2023,SDRs,150874.61,1823452,,13673.57
India,"Financial Year (Apr - Mar), 2023","July, 2023",07-Jul-2023,Total Reserves,4933657.71,5962797,,
India,"Financial Year (Apr - Mar), 2023","July, 2023",14-Jul-2023,Foreign Currency Assets,4438290.55,54016605,,
India,"Financial Year (Apr - Mar), 2023","July, 2023",14-Jul-2023,Gold,371364.12,451972,797.72,
India,"Financial Year (Apr - Mar), 2023","July, 2023",14-Jul-2023,Reserve Tranche Position in IMF,42483.86,517452,,
India,"Financial Year (Apr - Mar), 2023","July, 2023",14-Jul-2023,SDRs,151878.28,1848448,,13673.57
India,"Financial Year (Apr - Mar), 2023","July, 2023",14-Jul-2023,Total Reserves,5004016.81,60902225,,
India,"Financial Year (Apr - Mar), 2023","July, 2023",21-Jul-2023,Foreign Currency Assets,4407539.22,53775203,,
India,"Financial Year (Apr - Mar), 2023","July, 2023",21-Jul-2023,Gold,373861.52,4561384,797.72,
India,"Financial Year (Apr - Mar), 2023","July, 2023",21-Jul-2023,Reserve Tranche Position in IMF,42615.63,519565,,
India,"Financial Year (Apr - Mar), 2023","July, 2023",21-Jul-2023,SDRs,151414.45,1847367,,13673.57
India,"Financial Year (Apr - Mar), 2023","July, 2023",21-Jul-2023,Total Reserves,4975431.0,6070350,,
India,"Financial Year (Apr - Mar), 2023","July, 2023",28-Jul-2023,Foreign Currency Assets,4403421.38,53533653,,
India,"Financial Year (Apr - Mar), 2023","July, 2023",28-Jul-2023,Gold,369359.12,4490405,797.72,
India,"Financial Year (Apr - Mar), 2023","July, 2023",28-Jul-2023,Reserve Tranche Position in IMF,42642.26,518469,,
India,"Financial Year (Apr - Mar), 2023","July, 2023",28-Jul-2023,SDRs,151714.86,1844441,,13673.57
India,"Financial Year (Apr - Mar), 2023","July, 2023",28-Jul-2023,Total Reserves,4967138.0,6038700,,
India,"Financial Year (Apr - Mar), 2023","June, 2023",02-Jun-2023,Foreign Currency Assets,4330528.95,52620099,,
India,"Financial Year (Apr - Mar), 2023","June, 2023",02-Jun-2023,Gold,374925.83,455571,797.44,
India,"Financial Year (Apr - Mar), 2023","June, 2023",02-Jun-2023,Reserve Tranche Position in IMF,42170.24,512288,,
India,"Financial Year (Apr - Mar), 2023","June, 2023",02-Jun-2023,SDRs,149663.6,1818557,,13673.57
India,"Financial Year (Apr - Mar), 2023","June, 2023",02-Jun-2023,Total Reserves,4897288.62,59506654,,
India,"Financial Year (Apr - Mar), 2023","June, 2023",09-Jun-2023,Foreign Currency Assets,4329845.36,52507286,,
India,"Financial Year (Apr - Mar), 2023","June, 2023",09-Jun-2023,Gold,374159.36,4537366,797.44,
India,"Financial Year (Apr - Mar), 2023","June, 2023",09-Jun-2023,Reserve Tranche Position in IMF,42160.48,5115,,
India,"Financial Year (Apr - Mar), 2023","June, 2023",09-Jun-2023,SDRs,149973.94,1818708,,13673.57
India,"Financial Year (Apr - Mar), 2023","June, 2023",09-Jun-2023,Total Reserves,4896139.14,5937486,,
India,"Financial Year (Apr - Mar), 2023","June, 2023",16-Jun-2023,Foreign Currency Assets,4323489.17,52765116,,
India,"Financial Year (Apr - Mar), 2023","June, 2023",16-Jun-2023,Gold,369128.09,4504946,797.44,
India,"Financial Year (Apr - Mar), 2023","June, 2023",16-Jun-2023,Reserve Tranche Position in IMF,42158.51,51486,,
India,"Financial Year (Apr - Mar), 2023","June, 2023",16-Jun-2023,SDRs,149530.62,1824915,,13673.57
India,"Financial Year (Apr - Mar), 2023","June, 2023",16-Jun-2023,Total Reserves,4884306.39,59609837,,
India,"Financial Year (Apr - Mar), 2023","June, 2023",23-Jun-2023,Foreign Currency Assets,4310563.94,52543953,,
India,"Financial Year (Apr - Mar), 2023","June, 2023",23-Jun-2023,Gold,363459.34,4430416,797.44,
India,"Financial Year (Apr - Mar), 2023","June, 2023",23-Jun-2023,Reserve Tranche Position in IMF,42009.77,511996,,
India,"Financial Year (Apr - Mar), 2023","June, 2023",23-Jun-2023,SDRs,150407.76,1833407,,13673.57
India,"Financial Year (Apr - Mar), 2023","June, 2023",23-Jun-2023,Total Reserves,4866440.81,59319772,,
India,"Financial Year (Apr - Mar), 2023","June, 2023",30-Jun-2023,Foreign Currency Assets,4331356.72,52797859,,
India,"Financial Year (Apr - Mar), 2023","June, 2023",30-Jun-2023,Gold,359585.15,4383228,797.44,
India,"Financial Year (Apr - Mar), 2023","June, 2023",30-Jun-2023,Reserve Tranche Position in IMF,41034.58,500161,,
India,"Financial Year (Apr - Mar), 2023","June, 2023",30-Jun-2023,SDRs,149625.73,182389,,13673.57
India,"Financial Year (Apr - Mar), 2023","June, 2023",30-Jun-2023,Total Reserves,4881602.18,59505138,,
India,"Financial Year (Apr - Mar), 2023","May, 2023",05-May-2023,Foreign Currency Assets,4303464.85,52602135,,
India,"Financial Year (Apr - Mar), 2023","May, 2023",05-May-2023,Gold,378914.42,4631549,794.63,
India,"Financial Year (Apr - Mar), 2023","May, 2023",05-May-2023,Reserve Tranche Position in IMF,42439.1,519226,,
India,"Financial Year (Apr - Mar), 2023","May, 2023",05-May-2023,SDRs,150918.43,1844707,,13667.33
India,"Financial Year (Apr - Mar), 2023","May, 2023",05-May-2023,Total Reserves,4875736.8,59597617,,
India,"Financial Year (Apr - Mar), 2023","May, 2023",12-May-2023,Foreign Currency Assets,4351530.1,52959841,,
India,"Financial Year (Apr - Mar), 2023","May, 2023",12-May-2023,Gold,380870.36,4635343,794.63,
India,"Financial Year (Apr - Mar), 2023","May, 2023",12-May-2023,Reserve Tranche Position in IMF,42431.21,516442,,
India,"Financial Year (Apr - Mar), 2023","May, 2023",12-May-2023,SDRs,151289.66,1841255,,13673.57
India,"Financial Year (Apr - Mar), 2023","May, 2023",12-May-2023,Total Reserves,4926121.33,59952881,,
India,"Financial Year (Apr - Mar), 2023","May, 2023",19-May-2023,Foreign Currency Assets,4338981.25,5249445,,
India,"Financial Year (Apr - Mar), 2023","May, 2023",19-May-2023,Gold,372999.89,4512678,795.57,
India,"Financial Year (Apr - Mar), 2023","May, 2023",19-May-2023,Reserve Tranche Position in IMF,42421.83,512967,,
India,"Financial Year (Apr - Mar), 2023","May, 2023",19-May-2023,SDRs,151059.46,1827568,,13673.57
India,"Financial Year (Apr - Mar), 2023","May, 2023",19-May-2023,Total Reserves,4905462.43,59347663,,
India,"Financial Year (Apr - Mar), 2023","May, 2023",26-May-2023,Foreign Currency Assets,4301298.14,52093063,,
India,"Financial Year (Apr - Mar), 2023","May, 2023",26-May-2023,Gold,370755.67,4490225,796.5,
India,"Financial Year (Apr - Mar), 2023","May, 2023",26-May-2023,Reserve Tranche Position in IMF,42295.15,511316,,
India,"Financial Year (Apr - Mar), 2023","May, 2023",26-May-2023,SDRs,150207.05,1819159,,13673.57
India,"Financial Year (Apr - Mar), 2023","May, 2023",26-May-2023,Total Reserves,4864556.01,58913763,,
India,"Financial Year (Apr - Mar), 2023","April, 2023",07-Apr-2023,Foreign Currency Assets,4213255.72,51443087,,
India,"Financial Year (Apr - Mar), 2023","April, 2023",07-Apr-2023,Gold,382446.54,4669603,794.63,
India,"Financial Year (Apr - Mar), 2023","April, 2023",07-Apr-2023,Reserve Tranche Position in IMF,42446.31,517794,,
India,"Financial Year (Apr - Mar), 2023","April, 2023",07-Apr-2023,SDRs,151107.41,1844994,,13667.33
India,"Financial Year (Apr - Mar), 2023","April, 2023",07-Apr-2023,Total Reserves,4789255.98,58475478,,
India,"Financial Year (Apr - Mar), 2023","April, 2023",14-Apr-2023,Foreign Currency Assets,4229121.48,51663489,,
India,"Financial Year (Apr - Mar), 2023","April, 2023",14-Apr-2023,Gold,377985.81,4617523,794.63,
India,"Financial Year (Apr - Mar), 2023","April, 2023",14-Apr-2023,Reserve Tranche Position in IMF,42546.2,519011,,
India,"Financial Year (Apr - Mar), 2023","April, 2023",14-Apr-2023,SDRs,150716.09,1841167,,13667.33
India,"Financial Year (Apr - Mar), 2023","April, 2023",14-Apr-2023,Total Reserves,4800369.58,5864119,,
India,"Financial Year (Apr - Mar), 2023","April, 2023",21-Apr-2023,Foreign Currency Assets,4224243.81,51448913,,
India,"Financial Year (Apr - Mar), 2023","April, 2023",21-Apr-2023,Gold,378926.26,4615109,794.63,
India,"Financial Year (Apr - Mar), 2023","April, 2023",21-Apr-2023,Reserve Tranche Position in IMF,42526.01,517637,,
India,"Financial Year (Apr - Mar), 2023","April, 2023",21-Apr-2023,SDRs,151329.49,1843108,,13667.33
India,"Financial Year (Apr - Mar), 2023","April, 2023",21-Apr-2023,Total Reserves,4797025.57,58424767,,
India,"Financial Year (Apr - Mar), 2023","April, 2023",28-Apr-2023,Foreign Currency Assets,4251386.77,51948493,,
India,"Financial Year (Apr - Mar), 2023","April, 2023",28-Apr-2023,Gold,373647.83,4565673,794.63,
India,"Financial Year (Apr - Mar), 2023","April, 2023",28-Apr-2023,Reserve Tranche Position in IMF,42300.21,517226,,
India,"Financial Year (Apr - Mar), 2023","April, 2023",28-Apr-2023,SDRs,151122.4,1846593,,13667.33
India,"Financial Year (Apr - Mar), 2023","April, 2023",28-Apr-2023,Total Reserves,4818457.21,58877985,,
India,"Financial Year (Apr - Mar), 2022","March, 2023",03-Mar-2023,Foreign Currency Assets,4075250.77,49708668,,
India,"Financial Year (Apr - Mar), 2022","March, 2023",03-Mar-2023,Gold,344595.35,4203269,791.1,
India,"Financial Year (Apr - Mar), 2022","March, 2023",03-Mar-2023,Reserve Tranche Position in IMF,42010.0,510671,,
India,"Financial Year (Apr - Mar), 2022","March, 2023",03-Mar-2023,SDRs,148993.06,1817372,,13667.33
India,"Financial Year (Apr - Mar), 2022","March, 2023",03-Mar-2023,Total Reserves,4610849.18,5623998,,
India,"Financial Year (Apr - Mar), 2022","March, 2023",10-Mar-2023,Foreign Currency Assets,4060162.55,49486296,,
India,"Financial Year (Apr - Mar), 2022","March, 2023",10-Mar-2023,Gold,343960.76,4192281,791.1,
India,"Financial Year (Apr - Mar), 2022","March, 2023",10-Mar-2023,Reserve Tranche Position in IMF,41794.99,509604,,
India,"Financial Year (Apr - Mar), 2022","March, 2023",10-Mar-2023,SDRs,148673.38,1812069,,13667.33
India,"Financial Year (Apr - Mar), 2022","March, 2023",10-Mar-2023,Total Reserves,4594591.68,5600025,,
India,"Financial Year (Apr - Mar), 2022","March, 2023",17-Mar-2023,Foreign Currency Assets,4170824.62,50534806,,
India,"Financial Year (Apr - Mar), 2022","March, 2023",17-Mar-2023,Gold,364051.33,4410942,792.82,
India,"Financial Year (Apr - Mar), 2022","March, 2023",17-Mar-2023,Reserve Tranche Position in IMF,42260.71,51246,,
India,"Financial Year (Apr - Mar), 2022","March, 2023",17-Mar-2023,SDRs,150365.51,1821868,,13667.33
India,"Financial Year (Apr - Mar), 2022","March, 2023",17-Mar-2023,Total Reserves,4727502.17,57280076,,
India,"Financial Year (Apr - Mar), 2022","March, 2023",24-Mar-2023,Foreign Currency Assets,4204244.51,50972773,,
India,"Financial Year (Apr - Mar), 2022","March, 2023",24-Mar-2023,Gold,375117.32,4547968,794.63,
India,"Financial Year (Apr - Mar), 2022","March, 2023",24-Mar-2023,Reserve Tranche Position in IMF,42364.34,515144,,
India,"Financial Year (Apr - Mar), 2022","March, 2023",24-Mar-2023,SDRs,151922.92,1841932,,13667.33
India,"Financial Year (Apr - Mar), 2022","March, 2023",24-Mar-2023,Total Reserves,4773649.09,57877817,,
India,"Financial Year (Apr - Mar), 2022","February, 2023",03-Feb-2023,Foreign Currency Assets,4155329.52,50769479,,
India,"Financial Year (Apr - Mar), 2022","February, 2023",03-Feb-2023,Gold,358335.02,4378108,787.37,
India,"Financial Year (Apr - Mar), 2022","February, 2023",03-Feb-2023,Reserve Tranche Position in IMF,43145.14,524691,,
India,"Financial Year (Apr - Mar), 2022","February, 2023",03-Feb-2023,SDRs,151776.99,1854399,,13661.71
India,"Financial Year (Apr - Mar), 2022","February, 2023",03-Feb-2023,Total Reserves,4708586.67,57526677,,
India,"Financial Year (Apr - Mar), 2022","February, 2023",10-Feb-2023,Foreign Currency Assets,4129985.46,5005867,,
India,"Financial Year (Apr - Mar), 2022","February, 2023",10-Feb-2023,Gold,353627.22,428624,788.3,
India,"Financial Year (Apr - Mar), 2022","February, 2023",10-Feb-2023,Reserve Tranche Position in IMF,42486.69,514499,,
India,"Financial Year (Apr - Mar), 2022","February, 2023",10-Feb-2023,SDRs,151425.49,1835396,,13661.71
India,"Financial Year (Apr - Mar), 2022","February, 2023",10-Feb-2023,Total Reserves,4677524.86,56694805,,
India,"Financial Year (Apr - Mar), 2022","February, 2023",17-Feb-2023,Foreign Currency Assets,4109014.08,4960720,,
India,"Financial Year (Apr - Mar), 2022","February, 2023",17-Feb-2023,Gold,346376.35,4181724,790.16,
India,"Financial Year (Apr - Mar), 2022","February, 2023",17-Feb-2023,Reserve Tranche Position in IMF,42320.65,511067,,
India,"Financial Year (Apr - Mar), 2022","February, 2023",17-Feb-2023,SDRs,151306.81,1826693,,13667.33
India,"Financial Year (Apr - Mar), 2022","February, 2023",17-Feb-2023,Total Reserves,4649017.89,56126684,,
India,"Financial Year (Apr - Mar), 2022","February, 2023",24-Feb-2023,Foreign Currency Assets,4103554.22,49590558,,
India,"Financial Year (Apr - Mar), 2022","February, 2023",24-Feb-2023,Gold,345483.53,4175093,790.16,
India,"Financial Year (Apr - Mar), 2022","February, 2023",24-Feb-2023,Reserve Tranche Position in IMF,42186.25,509846,,
India,"Financial Year (Apr - Mar), 2022","February, 2023",24-Feb-2023,SDRs,150491.5,1818657,,13667.33
India,"Financial Year (Apr - Mar), 2022","February, 2023",24-Feb-2023,Total Reserves,4641715.5,56094154,,
India,"Financial Year (Apr - Mar), 2022","January, 2023",06-Jan-2023,Foreign Currency Assets,4106794.84,49644119,,
India,"Financial Year (Apr - Mar), 2022","January, 2023",06-Jan-2023,Gold,345658.1,4178415,787.37,
India,"Financial Year (Apr - Mar), 2022","January, 2023",06-Jan-2023,Reserve Tranche Position in IMF,42484.53,514124,,
India,"Financial Year (Apr - Mar), 2022","January, 2023",06-Jan-2023,SDRs,150697.85,1821679,,13661.71
India,"Financial Year (Apr - Mar), 2022","January, 2023",06-Jan-2023,Total Reserves,4645635.32,56158337,,
India,"Financial Year (Apr - Mar), 2022","January, 2023",13-Jan-2023,Foreign Currency Assets,4112093.4,50551895,,
India,"Financial Year (Apr - Mar), 2022","January, 2023",13-Jan-2023,Gold,348886.57,4289026,787.37,
India,"Financial Year (Apr - Mar), 2022","January, 2023",13-Jan-2023,Reserve Tranche Position in IMF,42564.81,522699,,
India,"Financial Year (Apr - Mar), 2022","January, 2023",13-Jan-2023,SDRs,149381.75,183642,,13661.71
India,"Financial Year (Apr - Mar), 2022","January, 2023",13-Jan-2023,Total Reserves,4652926.53,5720004,,
India,"Financial Year (Apr - Mar), 2022","January, 2023",20-Jan-2023,Foreign Currency Assets,4108235.43,50635751,,
India,"Financial Year (Apr - Mar), 2022","January, 2023",20-Jan-2023,Gold,354645.71,4371159,787.37,
India,"Financial Year (Apr - Mar), 2022","January, 2023",20-Jan-2023,Reserve Tranche Position in IMF,42447.39,522625,,
India,"Financial Year (Apr - Mar), 2022","January, 2023",20-Jan-2023,SDRs,149543.15,1843183,,13661.71
India,"Financial Year (Apr - Mar), 2022","January, 2023",20-Jan-2023,Total Reserves,4654871.68,57372718,,
India,"Financial Year (Apr - Mar), 2022","January, 2023",27-Jan-2023,Foreign Currency Assets,4149889.48,50901777,,
India,"Financial Year (Apr - Mar), 2022","January, 2023",27-Jan-2023,Gold,358941.82,4402714,787.37,
India,"Financial Year (Apr - Mar), 2022","January, 2023",27-Jan-2023,Reserve Tranche Position in IMF,42709.17,523753,,
India,"Financial Year (Apr - Mar), 2022","January, 2023",27-Jan-2023,SDRs,150648.61,1847828,,13661.71
India,"Financial Year (Apr - Mar), 2022","January, 2023",27-Jan-2023,Total Reserves,4702189.08,57676072,,
India,"Financial Year (Apr - Mar), 2022","December, 2022",02-Dec-2022,Foreign Currency Assets,4041370.42,4969835,,
India,"Financial Year (Apr - Mar), 2022","December, 2022",02-Dec-2022,Gold,333605.52,4102481,786.28,
India,"Financial Year (Apr - Mar), 2022","December, 2022",02-Dec-2022,Reserve Tranche Position in IMF,41465.95,510809,,
India,"Financial Year (Apr - Mar), 2022","December, 2022",02-Dec-2022,SDRs,146739.96,180452,,13661.71
India,"Financial Year (Apr - Mar), 2022","December, 2022",02-Dec-2022,Total Reserves,4563181.85,5611616,,
India,"Financial Year (Apr - Mar), 2022","December, 2022",09-Dec-2022,Foreign Currency Assets,4114729.38,5001245,,
India,"Financial Year (Apr - Mar), 2022","December, 2022",09-Dec-2022,Gold,335094.46,4072903,786.28,
India,"Financial Year (Apr - Mar), 2022","December, 2022",09-Dec-2022,Reserve Tranche Position in IMF,42012.44,511043,,
India,"Financial Year (Apr - Mar), 2022","December, 2022",09-Dec-2022,SDRs,148965.49,18106,,13661.71
India,"Financial Year (Apr - Mar), 2022","December, 2022",09-Dec-2022,Total Reserves,4640801.77,56406996,,
India,"Financial Year (Apr - Mar), 2022","December, 2022",16-Dec-2022,Foreign Currency Assets,4140447.59,49962442,,
India,"Financial Year (Apr - Mar), 2022","December, 2022",16-Dec-2022,Gold,336281.99,4057887,786.28,
India,"Financial Year (Apr - Mar), 2022","December, 2022",16-Dec-2022,Reserve Tranche Position in IMF,42354.34,511412,,
India,"Financial Year (Apr - Mar), 2022","December, 2022",16-Dec-2022,SDRs,150669.29,1818114,,13661.71
India,"Financial Year (Apr - Mar), 2022","December, 2022",16-Dec-2022,Total Reserves,4669753.21,56349855,,
India,"Financial Year (Apr - Mar), 2022","December, 2022",23-Dec-2022,Foreign Currency Assets,4130758.1,49849009,,
India,"Financial Year (Apr - Mar), 2022","December, 2022",23-Dec-2022,Gold,339491.8,4096907,786.28,
India,"Financial Year (Apr - Mar), 2022","December, 2022",23-Dec-2022,Reserve Tranche Position in IMF,42750.84,515888,,
India,"Financial Year (Apr - Mar), 2022","December, 2022",23-Dec-2022,SDRs,150728.93,1818961,,13661.71
India,"Financial Year (Apr - Mar), 2022","December, 2022",23-Dec-2022,Total Reserves,4663729.67,56280765,,
India,"Financial Year (Apr - Mar), 2022","December, 2022",30-Dec-2022,Foreign Currency Assets,4121067.42,49818817,,
India,"Financial Year (Apr - Mar), 2022","December, 2022",30-Dec-2022,Gold,341826.66,4132279,787.37,
India,"Financial Year (Apr - Mar), 2022","December, 2022",30-Dec-2022,Reserve Tranche Position in IMF,42708.39,515888,,
India,"Financial Year (Apr - Mar), 2022","December, 2022",30-Dec-2022,SDRs,150399.78,1818155,,13661.71
India,"Financial Year (Apr - Mar), 2022","December, 2022",30-Dec-2022,Total Reserves,4656002.25,56285139,,
India,"Financial Year (Apr - Mar), 2022","November, 2022",04-Nov-2022,Foreign Currency Assets,3881411.0,47072741,,
India,"Financial Year (Apr - Mar), 2022","November, 2022",04-Nov-2022,Gold,305554.91,370569,786.28,
India,"Financial Year (Apr - Mar), 2022","November, 2022",04-Nov-2022,Reserve Tranche Position in IMF,39778.01,48199,,
India,"Financial Year (Apr - Mar), 2022","November, 2022",04-Nov-2022,SDRs,143390.7,1739005,,13658.43
India,"Financial Year (Apr - Mar), 2022","November, 2022",04-Nov-2022,Total Reserves,4370134.62,52999426,,
India,"Financial Year (Apr - Mar), 2022","November, 2022",11-Nov-2022,Foreign Currency Assets,3899323.91,48252749,,
India,"Financial Year (Apr - Mar), 2022","November, 2022",11-Nov-2022,Gold,320785.81,3969611,786.28,
India,"Financial Year (Apr - Mar), 2022","November, 2022",11-Nov-2022,Reserve Tranche Position in IMF,39806.71,493584,,
India,"Financial Year (Apr - Mar), 2022","November, 2022",11-Nov-2022,SDRs,141866.13,1755543,,13661.71
India,"Financial Year (Apr - Mar), 2022","November, 2022",11-Nov-2022,Total Reserves,4401782.56,54471487,,
India,"Financial Year (Apr - Mar), 2022","November, 2022",18-Nov-2022,Foreign Currency Assets,3956579.46,48428797,,
India,"Financial Year (Apr - Mar), 2022","November, 2022",18-Nov-2022,Gold,326887.24,4001122,786.28,
India,"Financial Year (Apr - Mar), 2022","November, 2022",18-Nov-2022,Reserve Tranche Position in IMF,41232.58,504698,,
India,"Financial Year (Apr - Mar), 2022","November, 2022",18-Nov-2022,SDRs,146291.11,1790613,,13661.71
